county,state,voteshare,year,dem1912_3party,note,incparty,incumbency,attacks,electionyearattacks,coastal
BUTLER,AL,0.6389999985694885,1928,NA,.,-1,0,0,0,0
BUTLER,AL,0.9688442349433899,1932,NA,.,-1,-1,0,0,0
BUTLER,AL,0.9658976793289185,1936,NA,.,1,1,0,0,0
BUTLER,AL,0.9809809923171997,1940,NA,.,1,1,0,0,0
BUTLER,AL,0.9598796367645264,1944,NA,.,1,1,0,0,0
BUTLER,AL,0.9359223246574402,1948,NA,.,1,1,0,0,0
BUTLER,AL,0.6918075680732727,1952,NA,.,1,0,0,0,0
BUTLER,AL,0.5965999960899353,1956,NA,.,-1,-1,0,0,0
BUTLER,AL,0.7050999999046326,1960,NA,.,-1,0,0,0,0
BUTLER,AL,0,1964,NA,.,1,1,0,0,0
BUTLER,AL,0.7125999927520752,1968,NA,.,1,0,0,0,0
BUTLER,AL,0.23019999265670776,1972,NA,.,-1,-1,0,0,0
BUTLER,AL,0.5947999954223633,1976,NA,.,-1,-1,0,0,0
BUTLER,AL,0.5217000246047974,1980,NA,.,1,1,0,0,0
BUTLER,AL,0.4242999851703644,1984,NA,.,-1,-1,0,0,0
BUTLER,AL,0.4690000116825104,1988,NA,.,-1,0,0,0,0
BUTLER,AL,0.535099983215332,1992,NA,.,-1,-1,0,0,0
BUTLER,AL,0.5331000089645386,1996,NA,.,1,1,0,0,0
BUTLER,AL,0.46630001068115234,2e3,NA,.,1,0,0,0,0
BUTLER,AL,0.4066999852657318,2004,NA,.,-1,-1,0,0,0
BUTLER,AL,0.43299999833106995,2008,NA,.,-1,0,0,0,0
BUTLER,AL,0.4622878432273865,2012,NA,.,1,1,0,0,0
CALHOUN,AL,0.8149999976158142,1872,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.8289999961853027,1876,NA,.,-1,0,0,0,0
CALHOUN,AL,0.795979917049408,1880,NA,.,-1,0,0,0,0
CALHOUN,AL,0.6563126444816589,1884,NA,.,-1,0,0,0,0
CALHOUN,AL,0.7404809594154358,1888,NA,.,1,1,0,0,0
CALHOUN,AL,0.9569569826126099,1892,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.6549210548400879,1896,NA,.,1,0,0,0,0
CALHOUN,AL,0.7642458081245422,1900,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.8447009325027466,1904,NA,.,-1,0,0,0,0
CALHOUN,AL,0.7159451246261597,1908,NA,.,-1,0,0,0,0
CALHOUN,AL,0.8746898174285889,1912,0.7157360315322876,.,-1,-1,0,0,0
CALHOUN,AL,0.8346938490867615,1916,NA,.,1,1,0,0,0
CALHOUN,AL,0.75,1920,NA,.,1,0,0,0,0
CALHOUN,AL,0.7130801677703857,1924,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.45500001311302185,1928,NA,.,-1,0,0,0,0
CALHOUN,AL,0.8651911616325378,1932,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.8796764612197876,1936,NA,.,1,1,0,0,0
CALHOUN,AL,0.8724899888038635,1940,NA,.,1,1,0,0,0
CALHOUN,AL,0.8611670136451721,1944,NA,.,1,1,0,0,0
CALHOUN,AL,0.7902351021766663,1948,NA,.,1,1,0,0,0
CALHOUN,AL,0.7236469984054565,1952,NA,.,1,0,0,0,0
CALHOUN,AL,0.669700026512146,1956,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.666100025177002,1960,NA,.,-1,0,0,0,0
CALHOUN,AL,0,1964,NA,.,1,1,0,0,0
CALHOUN,AL,0.5752999782562256,1968,NA,.,1,0,0,0,0
CALHOUN,AL,0.22259999811649323,1972,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.6349999904632568,1976,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.4934000074863434,1980,NA,.,1,1,0,0,0
CALHOUN,AL,0.3537999987602234,1984,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.38600000739097595,1988,NA,.,-1,0,0,0,0
CALHOUN,AL,0.4438000023365021,1992,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.4650999903678894,1996,NA,.,1,1,0,0,0
CALHOUN,AL,0.41429999470710754,2e3,NA,.,1,0,0,0,0
CALHOUN,AL,0.3359000086784363,2004,NA,.,-1,-1,0,0,0
CALHOUN,AL,0.33550000190734863,2008,NA,.,-1,0,0,0,0
CALHOUN,AL,0.3387341797351837,2012,NA,.,1,1,0,0,0
CHAMBERS,AL,0.5740000009536743,1872,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.6840000152587891,1876,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.6848484873771667,1880,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.6359999775886536,1884,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.5699999928474426,1888,NA,.,1,1,0,0,0
CHAMBERS,AL,0.9739999771118164,1892,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.6193181872367859,1896,NA,.,1,0,0,0,0
CHAMBERS,AL,0.7729166746139526,1900,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.9507853388786316,1904,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.953751266002655,1908,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.9816216230392456,1912,0.9134808778762817,.,-1,-1,0,0,0
CHAMBERS,AL,0.908998966217041,1916,NA,.,1,1,0,0,0
CHAMBERS,AL,0.8611670136451721,1920,NA,.,1,0,0,0,0
CHAMBERS,AL,0.9295198917388916,1924,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.3659999966621399,1928,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.882530152797699,1932,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.9699699878692627,1936,NA,.,1,1,0,0,0
CHAMBERS,AL,0.9739478826522827,1940,NA,.,1,1,0,0,0
CHAMBERS,AL,0.9468405246734619,1944,NA,.,1,1,0,0,0
CHAMBERS,AL,0.875,1948,NA,.,1,1,0,0,0
CHAMBERS,AL,0.8615136742591858,1952,NA,.,1,0,0,0,0
CHAMBERS,AL,0.781000018119812,1956,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.7350000143051147,1960,NA,.,-1,0,0,0,0
CHAMBERS,AL,0,1964,NA,.,1,1,0,0,0
CHAMBERS,AL,0.5565999746322632,1968,NA,.,1,0,0,0,0
CHAMBERS,AL,0.1923999935388565,1972,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.5289999842643738,1976,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.5774999856948853,1980,NA,.,1,1,0,0,0
CHAMBERS,AL,0.3978999853134155,1984,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.39879998564720154,1988,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.5109999775886536,1992,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.5394999980926514,1996,NA,.,1,1,0,0,0
CHAMBERS,AL,0.48190000653266907,2e3,NA,.,1,0,0,0,0
CHAMBERS,AL,0.4122999906539917,2004,NA,.,-1,-1,0,0,0
CHAMBERS,AL,0.45739999413490295,2008,NA,.,-1,0,0,0,0
CHAMBERS,AL,0.47396570444107056,2012,NA,.,1,1,0,0,0
CHEROKEE,AL,0.8429999947547913,1872,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.8500000238418579,1876,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.8849999904632568,1880,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.765999972820282,1884,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.8353535532951355,1888,NA,.,1,1,0,0,0
CHEROKEE,AL,0.955955982208252,1892,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.5226824283599854,1896,NA,.,1,0,0,0,0
CHEROKEE,AL,0.5,1900,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.6430288553237915,1904,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.5419355034828186,1908,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.9031007885932922,1912,0.47893112897872925,.,-1,-1,0,0,0
CHEROKEE,AL,0.6911315321922302,1916,NA,.,1,1,0,0,0
CHEROKEE,AL,0.5554425120353699,1920,NA,.,1,0,0,0,0
CHEROKEE,AL,0.6202661395072937,1924,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.37074148654937744,1928,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.841093122959137,1932,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.8497983813285828,1936,NA,.,1,1,0,0,0
CHEROKEE,AL,0.8724899888038635,1940,NA,.,1,1,0,0,0
CHEROKEE,AL,0.8133198618888855,1944,NA,.,1,1,0,0,0
CHEROKEE,AL,0.8299445509910583,1948,NA,.,1,1,0,0,0
CHEROKEE,AL,0.8317625522613525,1952,NA,.,1,0,0,0,0
CHEROKEE,AL,0.7590000033378601,1956,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.7807999849319458,1960,NA,.,-1,0,0,0,0
CHEROKEE,AL,0,1964,NA,.,1,1,0,0,0
CHEROKEE,AL,0.5738999843597412,1968,NA,.,1,0,0,0,0
CHEROKEE,AL,0.2709999978542328,1972,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.7577999830245972,1976,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.6025999784469604,1980,NA,.,1,1,0,0,0
CHEROKEE,AL,0.48429998755455017,1984,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.5254999995231628,1988,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.6060000061988831,1992,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.5906999707221985,1996,NA,.,1,1,0,0,0
CHEROKEE,AL,0.4571000039577484,2e3,NA,.,1,0,0,0,0
CHEROKEE,AL,0.3391999900341034,2004,NA,.,-1,-1,0,0,0
CHEROKEE,AL,0.24009999632835388,2008,NA,.,-1,0,0,0,0
CHEROKEE,AL,0.22119487822055817,2012,NA,.,1,1,0,0,0
CHILTON,AL,0.828000009059906,1876,NA,.,-1,0,0,0,0
CHILTON,AL,0.8450000286102295,1880,NA,.,-1,0,0,0,0
CHILTON,AL,0.7400000095367432,1884,NA,.,-1,0,0,0,0
